"cluster","P87","P90","P91","P92","P95","P96","P98","P100","P101","count"
"1","100; 0; 0","100; 0; 0","33.3; 33.3; 33.3","0; 66.7; 33.3","0; 0; 100","0; 33.3; 66.7","100; 0; 0","100; 0; 0","100; 0; 0",3
"2","100; 0; 0","100; 0; 0","100; 0; 0","100; 0; 0","100; 0; 0","66.7; 33.3; 0","100; 0; 0","100; 0; 0","66.7; 33.3; 0",3
"3","50; 33.3; 16.7","83.3; 16.7; 0","66.7; 33.3; 0","66.7; 33.3; 0","100; 0; 0","0; 16.7; 83.3","100; 0; 0","33.3; 16.7; 50","50; 50; 0",6
"4","66.7; 33.3; 0","0; 0; 100","66.7; 33.3; 0","0; 66.7; 33.3","100; 0; 0","0; 33.3; 66.7","100; 0; 0","33.3; 33.3; 33.3","66.7; 33.3; 0",3
"5","62.5; 25; 12.5","12.5; 37.5; 50","87.5; 12.5; 0","75; 12.5; 12.5","0; 37.5; 62.5","37.5; 37.5; 25","100; 0; 0","0; 12.5; 87.5","100; 0; 0",8
"6","33.3; 66.7; 0","0; 100; 0","16.7; 83.3; 0","0; 83.3; 16.7","0; 66.7; 33.3","0; 66.7; 33.3","0; 100; 0","33.3; 66.7; 0","0; 100; 0",6
"7","100; 0; 0","33.3; 66.7; 0","66.7; 33.3; 0","33.3; 66.7; 0","66.7; 33.3; 0","0; 0; 100","0; 33.3; 66.7","33.3; 33.3; 33.3","100; 0; 0",3
"8","87.5; 12.5; 0","50; 25; 25","75; 25; 0","75; 25; 0","0; 62.5; 37.5","37.5; 50; 12.5","100; 0; 0","0; 12.5; 87.5","0; 25; 75",8
"9","100; 0; 0","0; 0; 100","0; 0; 100","0; 0; 100","0; 50; 50","0; 100; 0","50; 50; 0","50; 50; 0","0; 50; 50",2
"10","0; 0; 100","0; 33.3; 66.7","33.3; 33.3; 33.3","0; 0; 100","0; 0; 100","0; 33.3; 66.7","100; 0; 0","0; 0; 100","0; 0; 100",3
